run,settings,git_sha,day,funder,open_issues,closed_issues,issues_opened,issues_closed,resolution_efficiency,open_issue_age,closed_issue_resolution_duration,difficult_closed_issue_rate,norm_open_issues,norm_closed_issues,norm_resolution_efficiency,norm_open_issue_age,norm_closed_issue_resolution_duration,contracts,contract_fix_rate,workdays
2018-06-09 07:58:59,none,db6c514c0c28549e3f9cdd3fc4845ece62ac8185,1,randomPay,1.0,0.0,4.0,0.0,0.0,0.0,0,0.0,0.5,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2018-06-09 07:58:59,none,db6c514c0c28549e3f9cdd3fc4845ece62ac8185,1,fixedPay,1.0,0.0,4.0,0.0,0.0,0.0,0,0.0,0.5,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2018-06-09 07:58:59,none,db6c514c0c28549e3f9cdd3fc4845ece62ac8185,1,inversePay,2.0,0.0,4.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
2018-06-09 07:58:59,none,db6c514c0c28549e3f9cdd3fc4845ece62ac8185,1,correlatedPay,0.0,0.0,4.0,0.0,0.0,0.0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-06-09 07:58:59,none,db6c514c0c28549e3f9cdd3fc4845ece62ac8185,2,randomPay,2.0,1.0,6.0,3.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,3.0,0.0,2.0
2018-06-09 07:58:59,none,db6c514c0c28549e3f9cdd3fc4845ece62ac8185,2,fixedPay,2.0,1.0,6.0,3.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,3.0,0.0,2.0
2018-06-09 07:58:59,none,db6c514c0c28549e3f9cdd3fc4845ece62ac8185,2,inversePay,1.0,1.0,6.0,3.0,1.0,1.0,1.0,0.0,0.5,1.0,1.0,0.0,0.0,2.0,0.0,2.0
2018-06-09 07:58:59,none,db6c514c0c28549e3f9cdd3fc4845ece62ac8185,2,correlatedPay,2.0,0.0,6.0,3.0,0.0,0.0,0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0
2018-06-09 07:58:59,none,db6c514c0c28549e3f9cdd3fc4845ece62ac8185,3,randomPay,0.0,3.0,4.0,7.0,0.75,0.0,1.0,0.0,1.0,1.0,0.75,1.0,0.0,3.0,0.3333333333333333,6.0
2018-06-09 07:58:59,none,db6c514c0c28549e3f9cdd3fc4845ece62ac8185,3,fixedPay,1.0,3.0,4.0,7.0,0.75,0.0,1.0,0.0,0.5,1.0,0.75,1.0,0.0,4.0,0.25,6.0
2018-06-09 07:58:59,none,db6c514c0c28549e3f9cdd3fc4845ece62ac8185,3,inversePay,1.0,3.0,4.0,7.0,0.75,2.0,0.3333333333333333,0.0,0.5,1.0,0.75,0.0,0.6666666666666667,4.0,0.25,4.0
2018-06-09 07:58:59,none,db6c514c0c28549e3f9cdd3fc4845ece62ac8185,3,correlatedPay,2.0,1.0,4.0,7.0,0.5,0.5,1.0,0.0,0.0,0.3333333333333333,0.5,0.75,0.0,3.0,0.0,2.0
2018-06-09 07:58:59,none,db6c514c0c28549e3f9cdd3fc4845ece62ac8185,4,randomPay,1.0,3.0,4.0,3.0,0.75,0.0,1.0,0.0,0.6666666666666667,0.6,0.75,1.0,0.0,4.0,0.75,6.0
2018-06-09 07:58:59,none,db6c514c0c28549e3f9cdd3fc4845ece62ac8185,4,fixedPay,0.0,5.0,4.0,3.0,0.8333333333333334,0.0,0.8,0.0,1.0,1.0,0.8333333333333334,1.0,0.19999999999999996,5.0,0.6,9.0
2018-06-09 07:58:59,none,db6c514c0c28549e3f9cdd3fc4845ece62ac8185,4,inversePay,1.0,4.0,4.0,3.0,0.8,0.0,1.0,1.0,0.6666666666666667,0.8,0.8,1.0,0.0,5.0,0.2,8.0
2018-06-09 07:58:59,none,db6c514c0c28549e3f9cdd3fc4845ece62ac8185,4,correlatedPay,3.0,1.0,4.0,3.0,0.5,1.0,1.0,0.0,0.0,0.2,0.5,0.0,0.0,4.0,0.25,2.0
2018-06-09 07:58:59,none,db6c514c0c28549e3f9cdd3fc4845ece62ac8185,5,randomPay,1.0,3.0,3.0,3.0,0.75,1.0,1.0,0.0,0.5,0.6,0.75,0.0,0.4,4.0,0.75,6.0
2018-06-09 07:58:59,none,db6c514c0c28549e3f9cdd3fc4845ece62ac8185,5,fixedPay,1.0,5.0,3.0,3.0,0.8333333333333334,0.0,0.8,0.0,0.5,1.0,0.8333333333333334,1.0,0.52,6.0,0.6666666666666666,9.0
2018-06-09 07:58:59,none,db6c514c0c28549e3f9cdd3fc4845ece62ac8185,5,inversePay,1.0,5.0,3.0,3.0,0.8333333333333334,1.0,0.8,1.0,0.5,1.0,0.8333333333333334,0.0,0.52,6.0,0.5,9.0
2018-06-09 07:58:59,none,db6c514c0c28549e3f9cdd3fc4845ece62ac8185,5,correlatedPay,2.0,3.0,3.0,3.0,0.75,1.0,1.6666666666666667,0.5,0.0,0.6,0.75,0.0,0.0,5.0,0.2,8.0
2018-06-09 07:58:59,none,db6c514c0c28549e3f9cdd3fc4845ece62ac8185,6,randomPay,1.0,5.0,4.0,7.0,1.0,0.0,1.0,0.0,0.0,0.7142857142857143,1.0,0.0,0.4444444444444444,6.0,0.6666666666666666,10.0
2018-06-09 07:58:59,none,db6c514c0c28549e3f9cdd3fc4845ece62ac8185,6,fixedPay,1.0,7.0,4.0,7.0,1.0,0.0,0.7142857142857143,0.0,0.0,1.0,1.0,0.0,0.6031746031746033,8.0,0.625,12.0
2018-06-09 07:58:59,none,db6c514c0c28549e3f9cdd3fc4845ece62ac8185,6,inversePay,0.0,6.0,4.0,7.0,1.0,0.0,1.0,1.0,1.0,0.8571428571428571,1.0,0.0,0.4444444444444444,6.0,0.6666666666666666,12.0
