days,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
open issues at the end of a day,4.0,6.0,4.0,4.0,3.0,4.0,5.0,5.0,0.0,4.0,6.0,2.0,5.0,5.0,4.0
closed issues at the end of a day,0.0,3.0,7.0,3.0,3.0,7.0,2.0,3.0,4.0,4.0,3.0,5.0,4.0,4.0,7.0
