days,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
open issues at the end of a day,3,6,8,5,3,3,2,3,6,7,7,8,7,6,6
closed issues at the end of a day,1,4,6,13,18,20,23,24,27,33,37,40,44,49,54
